config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 14 14 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 15 14 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 16 14 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 17 14 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 18 14 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 19 14 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 15 15 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 16 15 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 17 15 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 15 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 19 15 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 16 16 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 17 16 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 16 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 19 16 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 20 16 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 17 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 18 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 19 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 20 17 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 21 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 22 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 23 17 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 24 17 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 18 18 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 19 18 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 20 18 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 21 18 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 22 18 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 19 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 20 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 21 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 22 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 23 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 24 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 25 19 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 26 19 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 20 20 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 21 20 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 22 20 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 23 20 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 24 20 0.0 nines sigma 0 10000 notadapt



